text,label
gosh darn it what has happened to my tonys,0
time to enjoy whats left of the weekend after a day in workhomemade pizza for tea amp cannot wait for a lie in tomorrow,1
still slow getting back to posting and all thanks for interviews to ghostly peeps etc ill let you know when new stuff is up,1
i love you on wizards your so funny it would be awesome to meet you someday,1
im very frustrated  unpaid internship  broken camera  dwindling savings  not a very happy gal,0
some people might get dispondent when they keep getting injuries but positive thinking makes me blind to that,1
shes going to look great hun good luck with her,1
when will the twitter episode be shown,1
today is not the day after all  tmro  lol,0
and its already funny lolz,1
love is a battlefield  pat benatar classic dont worry im not listening to rick astley next,1
still up watching harpers islandim confusedlooking forward to breakfast with my group tmr,1
my first twit i mean tweet i cant believe i gave in,0
of course as always jerry wants some tweaks to the covers bah it wouldnt annoy me so much if he wasnt right,1
heading to the house for a little rest before our  trip to cali gonna go take some  em  from,1
i did see itlooks so retro   i wouldnt say no to rerecordingsfans loved given one change  you have cs fans,1
its supposed to be open,0
pmg i watched  the movie the hitcher  times yesterday and today omg  i love thaht movie poor jim and grace,0
going to work  but glad to have mikreal,0
soy yo o escuche splinter cell conviction para pc,1
are infy madhye ahe mysore la posting milali  working on net as such but the work sucks,0
lol the thing that sucks for me is that i almost got my nose pierced today but i couldnt since im not,0
went to kfc,1
oh look its our new house in santa barbara   hahha i wish,0
miles from my house amp i can hear my couch calling my name  ima comin,1
haha  in the morning and im taking pictures  love taking picturesssss,1
looking good wish i had some pictures but found myself constantly holding glasses unable to handle the camera,1
ah bridge to terabethia sucksss,0
heading to graduation  i do not like thisoh and nickill be looking for you,0
need to do schoolwork today,0
woo got off work early  love you bree  aetelade full eating food around the drive thru corner and lol  andrew love you all,1
blazing with my big sister lt i left my red bull in my moms truck im so upsett,0
install windows  its win,1
yea  we went to san mateo for this othe all u can eat sushi place not as good as fujis but still tasty,1
someone differ ent givin talk  karen,0
content cant be viewed outside the usa well that sucks for your followers from the rest of the world including me,0
i am devastated i didnt believe him but i guess it was true,0
whole foods market is a bust  im done making plans nothin ever seems to work out,0
thats a sticker you should keep,1
going crazy without a job,0
cliiiiings i hope your surgery goes well bb,0
time for bed good nite,1
so thats pm est right i am time challenged,1
im soooo thirsty i want a slush puppie that would be rather fabulous  clearly havent got one though boooooo,1
is out for caits birthday though she kinda feels really sick,0
man i want to go to the blogtv but im on vacation and blogtv wont work on the computer here,0
linus is shattered,0
nincs is cici disappointment of the day,0
aww you look so adorable here youre too photogenic jealous again,0
and im still only on  on the cryptic picture,0
my eyes are so small and the amount of eyeliner ive put on them isnt helping haha,0
damn earthquake almost broke my lamp erg,0
just added my blog but forgot the blog on my url submission wwwsnappyfindscomblog,0
gahhh my internet is being gay and wont let me on omgpop,0
we currently live in canada where folksre generally a bit more progressive bout such things even in alberta,0
non sempre  vero,1
i spent  hours today crafting the best of etsy which will be in indie fixx next week so yall better tune in its that good,1
have fun  and please dont forget to post some pics,1
totally just got hit on by one of her bar guests ha hayay me,1
what a fantastic sunday treat,0
off to school after my week off and i think  is extremely lucky because she has today off,1
i cant install tweetdecktwice alreadypoor me,0
we won how exciting,1
my ear is swollen  stupid roller coaster,0
wondering where i picked up that stomach flu  yuck  a beautiful weekend and i had to spend it inside  blahhh,0
omg why are saturdays soooo boriing to mee  giive me soome fun,0
thats what im thinking must taken them a pretty good effort,1
writing a song  xxx,1
ooooh inpiration bunnyi like thatand sexy back loves me too he wants to build on us,1
happy birthday,1
is missing the hatp show today  im a super sad bear,0
yay im out but i have  ride home  have  take tha yellow limosuper gay,0
had nice bbq up kev amp glyniss today with mum dad tasha martyn amp kids very sunny was luvin the food,1
in park slope brooklyn working the bust photoshoot this is so exciting ampno more fever but my tonsils are the size of golfballs,0
is sitting in work wishing i was out in the sunshine,0
home from a great wedding with a very happy couple,1
i needs my hursss cut,0
can you turn sky tower again pls can only get tv now,0
rendering p particle animations to put up on istock for sale render farm maxed out need more servers,0
watching relationships being destroyed before my very eyes due to alcohol so sad,0
haha i loves it all day,1
that was funny n almost right,1
yea dongggg,1
oh what a beautiful mooooooooooooooooooorning i just wish it wasnt so hot,0
hot choco is the best,1
ate at the mall food court yummy then played my acoustic show now time to go to bed,1
ten niche affiliate websites for only  its true check it out before they pull it its a holidays leftover,1
i know this week will be amazing theyre like  mins away from me omg omg,1
crystal doesnt feel good today,0
oh noes slow internet ftl  pets shares some of hers btw i got glee in the mail today yayyyy ty bb lt,0
har har very good unfortunately customers like faxing through documents rather than emailing,0
